SSP,region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
SSP1,World,134.9,133.7,133,132.9,133,133.3,131.9,129.7,127.3,124.9,122.8,120.9,119.9,118.9,117.8,116.8,115.6,114.5,113.2,111.9,110.5,109,107.4,105.7,104,102.1,100.2,98.55,96.85,95.25,93.72,92.8,91.82,90.8,89.76,88.75,87.74,86.73,85.74,84.81,83.89,83.09,82.28,81.47,80.66,79.85,79.02,78.19,77.36,76.51,75.66,74.79,73.92,73.05,72.17,71.3,70.42,69.55,68.69,67.84,67,66.17,65.36,64.57,63.79,63.03,62.29,61.57,60.87,60.19,59.53,58.89,58.26,57.65,57.05,56.46,55.88,55.3,54.72,54.15,53.58
SSP2,World,134.9,133.7,133.1,133.2,133.6,134,134.4,134.6,134.7,134.9,135.1,135.4,136.1,136.8,137.6,138.3,138.9,139.5,140.1,140.6,140.9,141.1,141.1,141,140.9,140.6,140.2,139.7,139.1,138.5,137.9,137.3,136.7,136.1,135.5,134.9,134.4,133.9,133.4,132.9,132.4,132,131.5,131,130.4,129.8,129.2,128.5,127.8,127.1,126.3,125.5,124.7,123.9,123,122.1,121.2,120.2,119.2,118.1,117.1,116,115,114,113.2,112.4,111.6,110.8,110,109.2,108.4,107.6,106.8,106,105.3,104.5,103.7,102.9,102.1,101.3,100.5
SSP3,World,134.9,133.8,133.3,133.7,134.6,135.8,137.1,138.6,140.1,141.6,142.9,144.4,146,147.6,149.2,150.9,152.5,154.1,155.6,157.1,158.5,159.7,160.8,161.9,162.9,163.9,164.9,165.9,166.9,168,169.2,170.5,171.9,173.4,175,176.8,178.7,180.7,182.8,184.9,187.1,189.4,191.6,193.9,196.2,198.5,200.8,203,205.2,207.4,209.7,211.9,214.1,216.2,218.3,220.4,222.5,224.7,226.8,229,231.1,233.4,235.6,237.9,240.2,242.5,244.9,247.3,249.8,252.7,255.6,258.5,261.5,264.5,267.5,270.5,273.5,276.5,279.5,282.6,285.6
SSP4,World,134.9,133.6,132.9,132.7,132.8,132.9,133.3,133.6,134,134.5,134.9,135.4,136.1,136.7,137.4,138,138.7,139.4,140.1,140.6,141.1,141.4,141.7,141.8,141.9,142,142,142.2,142.4,142.7,143,143.2,143.6,143.9,144.3,144.7,145.2,145.7,146.3,146.9,147.5,148.1,148.7,149.3,149.9,150.5,151,151.6,152.1,152.5,153,153.4,153.7,154.1,154.5,154.8,155.1,155.4,155.7,155.9,156.2,156.4,156.7,156.9,157.2,157.4,157.6,157.8,158,158.3,158.4,158.7,158.9,159.1,159.3,159.5,159.7,159.9,160.1,160.3,160.5
SSP5,World,134.9,133.7,133.1,133.2,133.6,134,133.9,133.3,132.7,132.1,131.9,132,132.2,132.3,132.3,132.3,132.1,132,131.8,131.5,131,130.4,129.6,128.7,127.7,126.6,125.4,124.1,122.8,121.3,119.9,118.8,117.7,116.5,115.4,114.4,113.4,112.4,111.5,110.8,110.1,109.5,108.9,108.3,107.6,107,106.3,105.6,104.9,104.2,103.6,103,102.4,101.7,101,100.3,99.47,98.77,98.11,97.45,96.77,96.11,95.44,94.79,94.14,93.51,92.9,92.32,91.75,91.2,90.67,90.17,89.68,89.21,88.75,88.29,87.85,87.4,86.96,86.52,86.09
SSP1,EAP,23.93,22.84,22.11,21.73,21.55,21.47,21.25,20.94,20.59,20.25,19.88,19.59,19.34,19.1,18.93,18.84,18.76,18.7,18.63,18.54,18.49,18.39,18.26,18.09,17.89,17.65,17.38,17.08,16.75,16.42,16.08,15.75,15.42,15.11,14.81,14.53,14.28,14.06,13.85,13.66,13.49,13.33,13.19,13.06,12.94,12.83,12.72,12.62,12.52,12.42,12.32,12.21,12.09,11.96,11.83,11.69,11.54,11.38,11.22,11.06,10.89,10.72,10.56,10.39,10.24,10.08,9.936,9.796,9.663,9.537,9.419,9.308,9.203,9.103,9.009,8.918,8.831,8.746,8.663,8.58,8.497
SSP2,EAP,23.93,22.85,22.14,21.77,21.62,21.57,21.51,21.44,21.34,21.24,21.09,20.97,20.89,20.82,20.76,20.71,20.66,20.6,20.56,20.52,20.44,20.32,20.16,19.96,19.73,19.47,19.15,18.82,18.46,18.11,17.76,17.42,17.13,16.86,16.61,16.39,16.2,16.04,15.9,15.78,15.67,15.58,15.5,15.42,15.35,15.28,15.21,15.14,15.06,14.98,14.89,14.78,14.67,14.54,14.41,14.26,14.11,13.95,13.79,13.62,13.46,13.3,13.14,12.99,12.85,12.72,12.59,12.48,12.37,12.27,12.19,12.1,12.03,11.96,11.89,11.82,11.76,11.69,11.63,11.56,11.49
SSP3,EAP,23.93,22.86,22.19,21.88,21.8,21.82,21.85,21.9,21.99,22.09,22.1,22.14,22.21,22.31,22.42,22.54,22.67,22.8,22.9,22.98,23.02,23,22.95,22.85,22.75,22.62,22.43,22.22,21.99,21.77,21.55,21.36,21.19,21.04,20.92,20.84,20.8,20.8,20.83,20.88,20.96,21.05,21.16,21.29,21.41,21.54,21.67,21.81,21.93,22.04,22.14,22.22,22.29,22.34,22.38,22.4,22.41,22.42,22.42,22.42,22.42,22.43,22.45,22.47,22.52,22.58,22.65,22.75,22.86,22.99,23.13,23.29,23.46,23.65,23.84,24.03,24.23,24.43,24.63,24.83,25.02
SSP4,EAP,23.93,22.83,22.09,21.67,21.47,21.37,21.28,21.18,21.06,20.94,20.75,20.6,20.49,20.39,20.29,20.2,20.12,20.03,19.94,19.81,19.65,19.45,19.21,18.93,18.63,18.31,17.95,17.58,17.19,16.8,16.41,16.04,15.69,15.35,15.02,14.73,14.46,14.26,14.07,13.9,13.74,13.6,13.46,13.33,13.2,13.07,12.94,12.81,12.68,12.54,12.39,12.23,12.06,11.9,11.74,11.57,11.39,11.21,11.02,10.84,10.65,10.47,10.29,10.12,9.957,9.799,9.648,9.505,9.369,9.24,9.119,9.004,8.894,8.788,8.686,8.588,8.494,8.401,8.308,8.215,8.121
SSP5,EAP,23.93,22.85,22.14,21.77,21.62,21.57,21.48,21.36,21.23,21.1,20.91,20.75,20.63,20.52,20.42,20.32,20.23,20.15,20.11,20.04,19.95,19.82,19.66,19.51,19.32,19.09,18.82,18.53,18.21,17.89,17.56,17.26,16.96,16.67,16.41,16.18,15.97,15.79,15.63,15.49,15.36,15.25,15.15,15.06,14.97,14.89,14.81,14.73,14.65,14.56,14.47,14.36,14.25,14.13,14,13.86,13.72,13.56,13.41,13.25,13.08,12.92,12.77,12.61,12.46,12.32,12.19,12.07,11.95,11.84,11.73,11.64,11.55,11.46,11.38,11.31,11.23,11.16,11.08,11.01,10.93
