Region,SSP,Year,U5MR
World,SSP1,2020,35.87
World,SSP1,2021,35.22
World,SSP1,2022,34.84
World,SSP1,2023,34.52
World,SSP1,2024,34.05
World,SSP1,2025,33.56
World,SSP1,2026,32.92
World,SSP1,2027,32.08
World,SSP1,2028,31.16
World,SSP1,2029,30.21
World,SSP1,2030,29.26
World,SSP1,2031,28.29
World,SSP1,2032,27.33
World,SSP1,2033,26.4
World,SSP1,2034,25.49
World,SSP1,2035,24.62
World,SSP1,2036,23.78
World,SSP1,2037,23.13
World,SSP1,2038,22.51
World,SSP1,2039,21.88
World,SSP1,2040,21.26
World,SSP1,2041,20.67
World,SSP1,2042,20.06
World,SSP1,2043,19.45
World,SSP1,2044,18.84
World,SSP1,2045,18.24
World,SSP1,2046,17.64
World,SSP1,2047,17.05
World,SSP1,2048,16.47
World,SSP1,2049,15.89
World,SSP1,2050,15.34
World,SSP1,2051,14.82
World,SSP1,2052,14.33
World,SSP1,2053,13.87
World,SSP1,2054,13.44
World,SSP1,2055,13.05
World,SSP1,2056,12.68
World,SSP1,2057,12.34
World,SSP1,2058,11.99
World,SSP1,2059,11.64
World,SSP1,2060,11.29
World,SSP1,2061,10.96
World,SSP1,2062,10.62
World,SSP1,2063,10.3
World,SSP1,2064,9.994
World,SSP1,2065,9.699
World,SSP1,2066,9.415
World,SSP1,2067,9.137
World,SSP1,2068,8.865
World,SSP1,2069,8.601
World,SSP1,2070,8.341
World,SSP1,2071,8.095
World,SSP1,2072,7.859
World,SSP1,2073,7.635
World,SSP1,2074,7.424
World,SSP1,2075,7.226
World,SSP1,2076,7.038
World,SSP1,2077,6.863
World,SSP1,2078,6.695
World,SSP1,2079,6.534
World,SSP1,2080,6.379
World,SSP1,2081,6.229
World,SSP1,2082,6.084
World,SSP1,2083,5.945
World,SSP1,2084,5.811
World,SSP1,2085,5.681
World,SSP1,2086,5.557
World,SSP1,2087,5.436
World,SSP1,2088,5.319
World,SSP1,2089,5.206
World,SSP1,2090,5.097
World,SSP1,2091,4.994
World,SSP1,2092,4.893
World,SSP1,2093,4.795
World,SSP1,2094,4.699
World,SSP1,2095,4.608
World,SSP1,2096,4.519
World,SSP1,2097,4.431
World,SSP1,2098,4.346
World,SSP1,2099,4.263
World,SSP1,2100,4.183
World,SSP2,2020,35.87
World,SSP2,2021,35.21
World,SSP2,2022,34.87
World,SSP2,2023,34.59
World,SSP2,2024,34.09
World,SSP2,2025,33.61
World,SSP2,2026,33.07
World,SSP2,2027,32.56
World,SSP2,2028,32.03
World,SSP2,2029,31.5
World,SSP2,2030,30.98
World,SSP2,2031,30.46
World,SSP2,2032,29.95
World,SSP2,2033,29.47
World,SSP2,2034,29.03
World,SSP2,2035,28.64
World,SSP2,2036,28.28
World,SSP2,2037,27.96
World,SSP2,2038,27.69
World,SSP2,2039,27.45
World,SSP2,2040,27.24
World,SSP2,2041,27.05
World,SSP2,2042,26.87
World,SSP2,2043,26.7
World,SSP2,2044,26.54
World,SSP2,2045,26.38
World,SSP2,2046,26.22
World,SSP2,2047,26.06
World,SSP2,2048,25.89
World,SSP2,2049,25.73
World,SSP2,2050,25.56
World,SSP2,2051,25.37
World,SSP2,2052,25.18
World,SSP2,2053,24.97
World,SSP2,2054,24.74
World,SSP2,2055,24.49
World,SSP2,2056,24.22
World,SSP2,2057,23.93
World,SSP2,2058,23.63
World,SSP2,2059,23.3
World,SSP2,2060,22.95
World,SSP2,2061,22.58
World,SSP2,2062,22.2
World,SSP2,2063,21.8
World,SSP2,2064,21.38
World,SSP2,2065,20.93
World,SSP2,2066,20.48
World,SSP2,2067,20.03
World,SSP2,2068,19.59
World,SSP2,2069,19.16
World,SSP2,2070,18.71
World,SSP2,2071,18.28
World,SSP2,2072,17.85
World,SSP2,2073,17.42
World,SSP2,2074,17
World,SSP2,2075,16.59
World,SSP2,2076,16.17
World,SSP2,2077,15.77
World,SSP2,2078,15.37
World,SSP2,2079,14.99
World,SSP2,2080,14.61
World,SSP2,2081,14.24
World,SSP2,2082,13.89
World,SSP2,2083,13.54
World,SSP2,2084,13.2
World,SSP2,2085,12.87
World,SSP2,2086,12.55
World,SSP2,2087,12.23
World,SSP2,2088,11.93
World,SSP2,2089,11.63
World,SSP2,2090,11.33
World,SSP2,2091,11.05
World,SSP2,2092,10.78
World,SSP2,2093,10.51
World,SSP2,2094,10.25
World,SSP2,2095,10
World,SSP2,2096,9.756
World,SSP2,2097,9.517
World,SSP2,2098,9.285
World,SSP2,2099,9.059
World,SSP2,2100,8.846
World,SSP3,2020,35.87
World,SSP3,2021,35.21
World,SSP3,2022,34.82
World,SSP3,2023,34.49
World,SSP3,2024,33.99
World,SSP3,2025,33.44
World,SSP3,2026,33.03
World,SSP3,2027,32.65
World,SSP3,2028,32.42
World,SSP3,2029,32.11
World,SSP3,2030,31.82
World,SSP3,2031,31.52
World,SSP3,2032,31.23
World,SSP3,2033,30.96
World,SSP3,2034,30.73
World,SSP3,2035,30.54
World,SSP3,2036,30.4
World,SSP3,2037,30.32
World,SSP3,2038,30.29
World,SSP3,2039,30.32
World,SSP3,2040,30.4
World,SSP3,2041,30.52
World,SSP3,2042,30.67
World,SSP3,2043,30.86
World,SSP3,2044,31.07
World,SSP3,2045,31.31
World,SSP3,2046,31.56
World,SSP3,2047,31.84
World,SSP3,2048,32.12
World,SSP3,2049,32.41
World,SSP3,2050,32.72
World,SSP3,2051,33.03
World,SSP3,2052,33.35
World,SSP3,2053,33.67
World,SSP3,2054,34
World,SSP3,2055,34.33
World,SSP3,2056,34.67
World,SSP3,2057,35.01
World,SSP3,2058,35.36
World,SSP3,2059,35.72
World,SSP3,2060,36.09
World,SSP3,2061,36.46
World,SSP3,2062,36.83
World,SSP3,2063,37.19
World,SSP3,2064,37.54
World,SSP3,2065,37.88
World,SSP3,2066,38.19
World,SSP3,2067,38.47
World,SSP3,2068,38.73
World,SSP3,2069,38.97
World,SSP3,2070,39.19
World,SSP3,2071,39.41
World,SSP3,2072,39.6
World,SSP3,2073,39.77
World,SSP3,2074,39.92
World,SSP3,2075,40.04
World,SSP3,2076,40.03
World,SSP3,2077,39.99
World,SSP3,2078,39.93
World,SSP3,2079,39.83
World,SSP3,2080,39.73
World,SSP3,2081,39.59
World,SSP3,2082,39.45
World,SSP3,2083,39.29
World,SSP3,2084,39.13
World,SSP3,2085,38.96
World,SSP3,2086,38.78
World,SSP3,2087,38.59
World,SSP3,2088,38.38
World,SSP3,2089,38.16
World,SSP3,2090,37.94
World,SSP3,2091,37.7
World,SSP3,2092,37.45
World,SSP3,2093,37.18
World,SSP3,2094,36.9
World,SSP3,2095,36.62
World,SSP3,2096,36.35
World,SSP3,2097,36.08
World,SSP3,2098,35.82
World,SSP3,2099,35.53
World,SSP3,2100,35.27
World,SSP4,2020,35.87
World,SSP4,2021,35.21
World,SSP4,2022,34.88
World,SSP4,2023,34.61
World,SSP4,2024,34.13
World,SSP4,2025,33.68
World,SSP4,2026,33.41
World,SSP4,2027,33.16
World,SSP4,2028,32.93
World,SSP4,2029,32.7
World,SSP4,2030,32.49
World,SSP4,2031,32.29
World,SSP4,2032,32.1
World,SSP4,2033,31.95
World,SSP4,2034,31.85
World,SSP4,2035,31.8
World,SSP4,2036,31.81
World,SSP4,2037,31.87
World,SSP4,2038,31.99
World,SSP4,2039,32.16
World,SSP4,2040,32.37
World,SSP4,2041,32.61
World,SSP4,2042,32.89
World,SSP4,2043,33.18
World,SSP4,2044,33.5
World,SSP4,2045,33.83
World,SSP4,2046,34.16
World,SSP4,2047,34.5
World,SSP4,2048,34.84
World,SSP4,2049,35.16
World,SSP4,2050,35.48
World,SSP4,2051,35.77
World,SSP4,2052,36.04
World,SSP4,2053,36.3
World,SSP4,2054,36.56
World,SSP4,2055,36.8
World,SSP4,2056,37.03
World,SSP4,2057,37.23
World,SSP4,2058,37.42
World,SSP4,2059,37.59
World,SSP4,2060,37.73
World,SSP4,2061,37.84
World,SSP4,2062,37.92
World,SSP4,2063,37.97
World,SSP4,2064,38
World,SSP4,2065,38
World,SSP4,2066,37.96
World,SSP4,2067,37.89
World,SSP4,2068,37.81
World,SSP4,2069,37.74
World,SSP4,2070,37.66
World,SSP4,2071,37.59
World,SSP4,2072,37.53
World,SSP4,2073,37.46
World,SSP4,2074,37.38
World,SSP4,2075,37.3
World,SSP4,2076,37.22
World,SSP4,2077,37.13
World,SSP4,2078,37.04
World,SSP4,2079,36.94
World,SSP4,2080,36.84
World,SSP4,2081,36.75
World,SSP4,2082,36.65
World,SSP4,2083,36.56
World,SSP4,2084,36.47
World,SSP4,2085,36.4
World,SSP4,2086,36.18
World,SSP4,2087,35.97
World,SSP4,2088,35.77
World,SSP4,2089,35.58
World,SSP4,2090,35.4
World,SSP4,2091,35.21
World,SSP4,2092,35.02
World,SSP4,2093,34.82
World,SSP4,2094,34.61
World,SSP4,2095,34.41
World,SSP4,2096,34.21
World,SSP4,2097,34.01
World,SSP4,2098,33.81
World,SSP4,2099,33.62
World,SSP4,2100,33.43
World,SSP5,2020,35.87
World,SSP5,2021,35.21
World,SSP5,2022,34.87
World,SSP5,2023,34.59
World,SSP5,2024,34.09
World,SSP5,2025,33.6
World,SSP5,2026,33.08
World,SSP5,2027,32.44
World,SSP5,2028,31.8
World,SSP5,2029,31.13
World,SSP5,2030,30.44
World,SSP5,2031,29.72
World,SSP5,2032,29
World,SSP5,2033,28.3
World,SSP5,2034,27.64
World,SSP5,2035,27.01
World,SSP5,2036,26.4
World,SSP5,2037,25.83
World,SSP5,2038,25.29
World,SSP5,2039,24.78
World,SSP5,2040,24.28
World,SSP5,2041,23.79
World,SSP5,2042,23.34
World,SSP5,2043,22.88
World,SSP5,2044,22.43
World,SSP5,2045,21.97
World,SSP5,2046,21.5
World,SSP5,2047,21.02
World,SSP5,2048,20.53
World,SSP5,2049,20.04
World,SSP5,2050,19.54
World,SSP5,2051,19.04
World,SSP5,2052,18.52
World,SSP5,2053,18.01
World,SSP5,2054,17.5
World,SSP5,2055,16.99
World,SSP5,2056,16.48
World,SSP5,2057,15.97
World,SSP5,2058,15.45
World,SSP5,2059,14.94
World,SSP5,2060,14.42
World,SSP5,2061,13.91
World,SSP5,2062,13.4
World,SSP5,2063,12.9
World,SSP5,2064,12.42
World,SSP5,2065,11.95
World,SSP5,2066,11.49
World,SSP5,2067,11.05
World,SSP5,2068,10.61
World,SSP5,2069,10.2
World,SSP5,2070,9.799
World,SSP5,2071,9.42
World,SSP5,2072,9.058
World,SSP5,2073,8.711
World,SSP5,2074,8.38
World,SSP5,2075,8.062
World,SSP5,2076,7.759
World,SSP5,2077,7.478
World,SSP5,2078,7.213
World,SSP5,2079,6.963
World,SSP5,2080,6.728
World,SSP5,2081,6.511
World,SSP5,2082,6.306
World,SSP5,2083,6.113
World,SSP5,2084,5.925
World,SSP5,2085,5.744
World,SSP5,2086,5.57
World,SSP5,2087,5.401
World,SSP5,2088,5.238
World,SSP5,2089,5.08
World,SSP5,2090,4.926
World,SSP5,2091,4.777
World,SSP5,2092,4.632
World,SSP5,2093,4.492
World,SSP5,2094,4.354
World,SSP5,2095,4.224
World,SSP5,2096,4.099
World,SSP5,2097,3.98
World,SSP5,2098,3.866
World,SSP5,2099,3.757
World,SSP5,2100,3.656
SSA,SSP1,2020,71.1
SSA,SSP1,2021,69.39
SSA,SSP1,2022,68.01
SSA,SSP1,2023,66.76
SSA,SSP1,2024,65.08
SSA,SSP1,2025,63.49
SSA,SSP1,2026,61.75
SSA,SSP1,2027,59.75
SSA,SSP1,2028,57.69
SSA,SSP1,2029,55.73
SSA,SSP1,2030,53.82
SSA,SSP1,2031,51.88
SSA,SSP1,2032,49.96
SSA,SSP1,2033,48.11
SSA,SSP1,2034,46.33
SSA,SSP1,2035,44.68
SSA,SSP1,2036,43.18
SSA,SSP1,2037,42.08
SSA,SSP1,2038,41.06
SSA,SSP1,2039,40.09
SSA,SSP1,2040,39.15
SSA,SSP1,2041,38.26
SSA,SSP1,2042,37.34
SSA,SSP1,2043,36.42
SSA,SSP1,2044,35.5
SSA,SSP1,2045,34.58
SSA,SSP1,2046,33.65
SSA,SSP1,2047,32.69
SSA,SSP1,2048,31.71
SSA,SSP1,2049,30.69
SSA,SSP1,2050,29.64
