Scenario,Area,Period,Age,Sex,Ratio,Death Ratio,Population,Deaths
SSP2,Afghanistan,2030-2035,0--4,Male,0.99,0.01,3773,37.73
SSP2,Afghanistan,2035-2040,0--4,Male,0.991,0.009,3943.3,35.4897
SSP2,Afghanistan,2040-2045,0--4,Male,0.991,0.009,4075.3,36.6777
SSP2,Afghanistan,2045-2050,0--4,Male,0.992,0.008,4162.1,33.2968
SSP2,Afghanistan,2050-2055,0--4,Male,0.993,0.007,4208.2,29.4574
SSP2,Afghanistan,2055-2060,0--4,Male,0.994,0.006,4203.2,25.2192
SSP2,Afghanistan,2060-2065,0--4,Male,0.994,0.006,4160.6,24.9636
SSP2,Afghanistan,2065-2070,0--4,Male,0.995,0.005,4093.3,20.4665
SSP2,Afghanistan,2070-2075,0--4,Male,0.996,0.004,3961.2,15.8448
SSP2,Afghanistan,2075-2080,0--4,Male,0.996,0.004,3809.6,15.2384
SSP2,Afghanistan,2080-2085,0--4,Male,0.997,0.003,3588,10.764
SSP2,Afghanistan,2085-2090,0--4,Male,0.997,0.003,3357.8,10.0734
SSP2,Afghanistan,2090-2095,0--4,Male,0.997,0.003,3236.8,9.7104
SSP2,Afghanistan,2095-2100,0--4,Male,0.998,0.002,3154.3,6.3086
SSP2,Angola,2030-2035,0--4,Male,0.982,0.018,3384.9,60.9282
SSP2,Angola,2035-2040,0--4,Male,0.983,0.017,3616.6,61.4822
SSP2,Angola,2040-2045,0--4,Male,0.985,0.015,3819.7,57.2955
SSP2,Angola,2045-2050,0--4,Male,0.986,0.014,3933.8,55.0732
SSP2,Angola,2050-2055,0--4,Male,0.987,0.013,4003.8,52.0494
SSP2,Angola,2055-2060,0--4,Male,0.988,0.012,4018.6,48.2232
SSP2,Angola,2060-2065,0--4,Male,0.989,0.011,4040.1,44.4411
SSP2,Angola,2065-2070,0--4,Male,0.991,0.009,3991.2,35.9208
SSP2,Angola,2070-2075,0--4,Male,0.992,0.008,3880.5,31.044
SSP2,Angola,2075-2080,0--4,Male,0.993,0.007,3772,26.404
SSP2,Angola,2080-2085,0--4,Male,0.994,0.006,3595.5,21.573
SSP2,Angola,2085-2090,0--4,Male,0.994,0.006,3388.8,20.3328
SSP2,Angola,2090-2095,0--4,Male,0.995,0.005,3159.3,15.7965
SSP2,Angola,2095-2100,0--4,Male,0.995,0.005,3062,15.31
SSP2,Bangladesh,2030-2035,0--4,Male,0.997,0.003,7031.7,21.0951
